id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6245213,Rental unit in Sevilla · ★4.96 · 2 bedrooms · 4 beds · 1 bath,10950734,Juan,San Pablo - Santa Justa,"Carretera de Carmona, María Auxiliadora, Fontanal",37.39461,-5.98215,Entire home/apt,94,3,137,2023-12-10,1.31,1,0,32,VFT/SE/00050
955631127929926033,Rental unit in Sevilla · ★4.86 · 3 bedrooms · 3 beds · 2 baths,350850417,Sevilla Hosting,Casco Antiguo,San Lorenzo,37.4025036,-5.994887299999999,Entire home/apt,122,2,7,2023-12-13,2.00,19,251,7,VTF/se/08060
1016688584822104936,Rental unit in Sevilla · ★5.0 · 1 bedroom · 1 bed · 1 bath,42999757,Maxime,Casco Antiguo,San Julián,37.3995466,-5.9867192,Entire home/apt,74,2,5,2023-12-21,4.17,2,137,5,VFT/SE/10320
610609763810978221,Rental unit in Sevilla · ★4.96 · 2 bedrooms · 2 beds · 1 bath,455456980,Mariano,Casco Antiguo,Santa Cruz,37.3845,-5.98868,Entire home/apt,160,3,69,2023-12-23,3.49,1,155,41,VFT/SE/1401
828715887330400232,Rental unit in Sevilla · ★4.89 · 2 bedrooms · 3 beds · 1 bath,14985397,Mariola,Macarena,"Doctor Barraquer, G. Renfe, Policlínico",37.40575955221505,-5.989655142639084,Entire home/apt,70,2,47,2023-12-27,4.70,1,201,47,VFT/SE/10350
30181110,Rental unit in Sevilla · ★4.94 · 2 bedrooms · 3 beds · 1 bath,24735654,Carmen,Casco Antiguo,San Vicente,37.39433,-6.00269,Entire home/apt,164,2,369,2023-12-21,6.01,2,0,91,VFT/SE/03561
695387242672845322,casa particular in Sevilla · ★4.54 · 2 bedrooms · 4 beds · 2.5 baths,255965780,***CheckINN,Casco Antiguo,Santa Cruz,37.382652,-5.9945463,Entire home/apt,166,2,45,2023-12-07,2.90,33,0,39,VFT/SE/08792
46310583,Rental unit in Sevilla · ★4.94 · 2 bedrooms · 3 beds · 2 baths,374867365,Lourdes,Triana,Triana Casco Antiguo,37.38672,-6.00508,Entire home/apt,104,2,145,2023-12-24,3.96,1,0,62,VFT/SE/07481
818893845295498884,Serviced apartment in Sevilla · 1 bedroom · 1 bed · 1 bath,484535538,RoomPicks,Casco Antiguo,San Gil,37.402037,-5.9943026,Entire home/apt,200,1,0,,,14,186,0,Exempt
28959437,Rental unit in Sevilla · ★4.79 · 3 bedrooms · 5 beds · 2 baths,37065349,María,Casco Antiguo,San Julián,37.39652,-5.98411,Entire home/apt,129,2,196,2023-12-28,3.09,1,0,49,VFT/SE/04400
