id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
861613413617198399,Rental unit in Málaga · ★4.76 · 2 bedrooms · 2 beds · 1 bath,52117492,Max,,Centro,36.722289964700295,-4.426913894712925,Entire home/apt,103,2,20,2023-11-16,2.31,2,0,20,CTC-2019192768
862103054290589604,Rental unit in Málaga · ★4.79 · 2 bedrooms · 2 beds · 1 bath,309456528,Take Care Malaga,,Centro,36.72160230000001,-4.4269124,Entire home/apt,145,1,19,2023-11-09,2.13,9,208,19,VFT/MA/61330
862157032791185979,Rental unit in Málaga · ★4.73 · 4 bedrooms · 5 beds · 2 baths,5890675,La Recepción,,Centro,36.72175,-4.41957,Entire home/apt,311,1,30,2023-12-25,3.45,64,283,30,VFT/MA/60460
862195733428860791,Rental unit in Málaga · ★4.90 · 1 bedroom · 1 bed · 1 bath,20937445,Petra,,Centro,36.7247021,-4.4293548,Entire home/apt,99,2,10,2023-09-10,1.12,2,362,10,VFT-MA-62245
862262624805646153,Rental unit in Málaga · 2 bedrooms · 2 beds · 1 bath,126429738,Steffen,,Centro,36.71567,-4.42452,Entire home/apt,175,1,2,2023-05-16,0.25,63,351,2,VFT/MA/59516
862360125189005194,Rental unit in Málaga · ★4.39 · 1 bedroom · 1 bed · 1 shared bath,24525026,Carolina,,Centro,36.7282876,-4.4131653,Private room,29,1,31,2023-12-17,3.44,35,314,31,VFT/MA/59377
862398056190801984,Rental unit in Málaga · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,49880896,Santiago,,Carretera de Cadiz,36.6963835,-4.4477651,Private room,27,28,16,2023-10-08,1.91,2,209,16,VFT/MA/63758
862779793674701127,Rental unit in Málaga · ★4.83 · 1 bedroom · 2 beds · 1 bath,382146507,Lovely,,Centro,36.7266988,-4.4200806,Entire home/apt,73,2,6,2023-08-20,0.69,52,352,6,VFT/MA/57998
862966756603948421,Rental unit in Málaga · ★4.50 · 1 bedroom · 2 beds · 1 bath,156881428,Good Vibes Apartments,,Centro,36.7230469,-4.4264283,Entire home/apt,61,4,23,2023-12-17,2.67,18,0,23,"VFT/MA/27227,"
862976958351566885,Home in Málaga · 2 bedrooms · 2 beds · 1.5 baths,30892494,Marcelo,,Centro,36.72152,-4.42028,Entire home/apt,157,3,2,2023-08-15,0.25,1,281,2,VFT / MA / 29282
863028411003122306,Rental unit in Málaga · 2 bedrooms · 5 beds · 1 bath,508703112,Azahara,,Cruz De Humilladero,36.70882,-4.44261,Entire home/apt,,3,0,,,1,173,0,VFT/MA/63449
863028995051096535,Rental unit in Málaga · ★5.0 · 2 bedrooms · 3 beds · 1 bath,145183733,Sandra,,Carretera de Cadiz,36.70187,-4.44923,Entire home/apt,119,2,3,2023-12-10,0.65,1,121,3,VFT/MA/62238
863144845187556471,Rental unit in Málaga · ★5.0 · 2 bedrooms · 1 bed · 1 bath,61505109,Pedro Angel,,Carretera de Cadiz,36.70436,-4.43901,Entire home/apt,93,1,3,2023-07-30,0.34,3,209,3,VFT/MA/58800
863350549092473674,Rental unit in Málaga · 1 bedroom · 2 beds · 1 bath,126429738,Steffen,,Centro,36.71515,-4.42341,Entire home/apt,167,1,2,2023-08-15,0.25,63,346,2,VFT/MA/59515
863558333224544939,Rental unit in Málaga · ★4.33 · 4 bedrooms · 4 beds · 1 bath,5890675,La Recepción,,Bailen-Miraflores,36.72185,-4.43344,Entire home/apt,167,1,3,2023-09-01,0.49,64,65,3,VFT/MA/60448
863600324215226840,Rental unit in Málaga · ★4.63 · 3 bedrooms · 4 beds · 1 bath,152016953,Del Parque Flats,,Centro,36.71279,-4.42749,Entire home/apt,75,1,16,2023-12-10,1.88,60,364,16,VFT/MA/62998
863648319723507428,Bed and breakfast in Málaga · 1 bedroom · 1 bed · 1 shared bath,508826705,Francisco Javier,,Ciudad Jardin,36.73669,-4.42252,Private room,60,1,2,2023-04-23,0.23,1,364,2,Exempt
863668279838148894,Rental unit in Málaga · ★5.0 · 1 bedroom · 2 beds · 1 bath,508832558,Carmen María,,Este,36.72099,-4.3745,Entire home/apt,90,1,3,2023-09-23,0.65,2,363,3,VFT/MA/53325
863925103767421530,Rental unit in Málaga · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,507034806,Karolyd,,Cruz De Humilladero,36.70853732476754,-4.449486690985984,Private room,40,1,16,2023-12-25,4.53,2,146,16,VFT/MA/70937
864212567071639853,Rental unit in Málaga · 2 bedrooms · 2 beds · 2 baths,508940009,Ingrid,,Centro,36.7240234,-4.427395499999999,Entire home/apt,109,1,2,2023-11-16,0.34,1,262,2,VFT/MA/63091
864461508115030752,Rental unit in Málaga · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,48429489,Augusto,,Centro,36.72515569999999,-4.424309300000001,Entire home/apt,171,3,10,2023-12-21,1.20,8,79,10,VFT/MA/28189
864845688275945995,Rental unit in Málaga · ★5.0 · 2 bedrooms · 4 beds · 1 bath,419433327,Cristina,,Carretera de Cadiz,36.708821786097914,-4.435433931648731,Entire home/apt,110,5,6,2023-10-02,1.07,2,98,6,VFT/MA/45462
866376690750370002,Rental unit in Málaga · ★4.76 · 2 bedrooms · 2 beds · 1 bath,277663300,Albert,,Centro,36.72433184779785,-4.417095232395416,Entire home/apt,168,2,33,2023-12-25,4.19,17,123,33,VFT/MA/61191
866719846221100745,Rental unit in Málaga · ★4.42 · 1 bedroom · 2 beds · 1 private bath,56452904,Matvei,,Centro,36.72755788160975,-4.413753971457482,Private room,70,1,19,2023-10-29,2.24,1,152,19,Exempt
